title,author,journal,volume,number,pages,year,cite_id,cites
"Complex adjacency matrix and energy of digraphs (vol 65, pg 2170, 2017)","M Khan, R Farooq, J Rada",LINEAR & MULTILINEAR ALGEBRA,68,(1),220-222,2020,,
Effect of Multifunctional Nanocatalysts on n-C₇ Asphaltene Adsorption and Subsequent Oxidation under High-Pressure Conditions,"OE Medina, J Gallego, CM Olmos, X Chen, FB Cortés, CA Franco",,,,,2020,,
Thermo-Oxidative Decomposition Behaviors of Different Sources of n-C₇ Asphaltenes under High-Pressure Conditions,"OE Medina, J Gallego, NN Nassar, SA Acevedo, FB Cortés, CA Franco",,,,,2020,,
The hydroalcoholic extract of Uncaria tomentosa (Cat's claw) inhibits the replication of novel coronavirus (SARS-CoV-2) in vitro,"AF Yepes-Perez, O Herrera-Calderon, L Flórez-Álvarez, ...",bioRxiv,,,,2020,,
Colorimetric method as alternative to chromium (III) quantification in cattle feces,"AT Ospina, JA Zapata, JHG Gonzalez, L Giraldo, DM Valencia",Acta Scientiarum. Animal Sciences,42,,,2020,,
Estudio de pre factibilidad para la producción y comercialización de fitocosmeticos: tintes de cabello a base del fruto genipa americana (huito),"RC Paz Sebastián, KK Puente Orbegoso, IG Rosales Cabana",Universidad San Ignacio de Loyola,,,,2020,,
Exploring Antiparasitic Molecule Sources from Timber by-Product Industries—Leishmanicidal and Trypanocidal Compounds from Clathrotropis brunnea Amshoff,"F Torres, S Robledo, W Quiñones, G Escobar, R Archbold, E Correa, J Gil, ...",Frontiers in pharmacology,11,,,2020,,
Nuevos complejos monofenóxidos de titanio (IV) como catalizadores para dimerización de etileno,"C Mendoza, SL Amaya, JC Vivas, A Echavarría",Afinidad: Revista de química teórica y aplicada,77,(590),125-131,2020,,
Pan-genomics of multidrug-resistant human pathogenic bacteria and their resistome,"M Corredor, A Muñoz-Gómez",Pan-genomics: Applications,,,,2020,,
Pan-omics focused to Crick's central dogma,"AK Jaiswal, S Tiwari, GC Tavares, WM da Silva, L de Castro Oliveira, ...",Pan-genomics: Applications,,,,2020,,
"Control biológico de plagas de sinfilidos en un cultivo commercial de crisantemo (Dendranthema grandiflora) usando el hongo Purpureocillium lilacinum, cepa UdeA0106/Biological …","DA Salazar-Moncada, J Morales-Muñoz, N Cardona-Bustos",Revista Facultad Nacional de Agronomia Medellin,73,(1),9057,2020,,
